Date,Now,Open,High,Low,Volume
20120615,1164.86,1164.37,1166.3,1161.75,0.0004
20120618,1157.5,1157.4,1160.2,1156.8,-0.0063
20120619,1153.35,1157.6,1161.3,1153.3,-0.0036
20120620,1152.71,1153.55,1155.1,1150.5,-0.0006
20120621,1154.45,1152.81,1154.75,1147.7,0.0015
20120622,1158.94,1154.35,1159.9,1154.35,0.0039
20120625,1162.05,1157,1165.18,1156.4,0.0027
20120626,1158.5,1162.25,1163.2,1157,-0.0031
20120627,1155.69,1158.6,1159.2,1155.57,-0.0024
20120628,1158.02,1155.6,1158.98,1153,0.002
20120629,1141.32,1158.6,1158.6,1140.85,-0.0144
20120702,1143.89,1141,1146.7,1140.4,0.0023
20120703,1133.48,1143.5,1145.35,1133.41,-0.0091
20120704,1137.49,1134.15,1138.53,1132.55,0.0035
20120705,1133.8,1138.55,1139.1,1133.4,-0.0032
20120706,1140.55,1133.45,1140.62,1133.45,0.006
20120709,1143.17,1145.3,1145.5,1141.2,0.0023
20120710,1140.15,1143.27,1144.85,1140.15,-0.0026
20120711,1141,1144.5,1146.35,1140.08,0.0007
20120712,1154.63,1141.1,1157.2,1140.6,0.0119
20120713,1148.06,1154.63,1155.9,1147.5,-0.0057
20120716,1146.18,1148.06,1149.7,1145.5,-0.0016
20120717,1145.43,1146.18,1146.7,1141.9,-0.0007
20120718,1142.5,1145.33,1145.6,1137.6,-0.0026
20120719,1138.3,1142.6,1142.6,1137.5,-0.0037
20120720,1142.75,1138.45,1143.63,1138.05,0.0039
20120723,1150.38,1142.6,1151.83,1142.6,0.0067
20120724,1149.18,1150.18,1150.3,1146.15,-0.001
20120725,1149.44,1149.38,1153.9,1149.3,0.0002
20120726,1146.57,1149.24,1149.4,1146.15,-0.0025
20120727,1138.61,1146.77,1146.77,1138.3,-0.0069
20120730,1137.62,1138.41,1138.65,1133.3,-0.0009
20120731,1130.67,1137.62,1137.62,1130,-0.0061
20120801,1127.26,1130.97,1131.4,1125.6,-0.003
20120802,1132.07,1127.05,1132.22,1127.05,0.0043
20120803,1135,1132.08,1137.6,1132.08,0.0026
20120806,1128.33,1134.9,1134.9,1124.1,-0.0059
20120807,1128.9,1128.13,1129.2,1125.6,0.0005
20120808,1130.42,1129.3,1131.63,1126.4,0.0013
20120809,1127.29,1130.42,1130.42,1124.5,-0.0028
20120810,1131.15,1127.13,1131.28,1125.7,0.0034
20120813,1129.13,1131.15,1133,1128.83,-0.0018
20120814,1130.59,1130.6,1132.3,1128.13,0.0013
20120815,1130.81,1130.59,1130.81,1130.59,0.0002
20120816,1133.59,1130.61,1134.9,1130.61,0.0025
20120817,1135.42,1133.89,1136.08,1131.5,0.0016
20120820,1135.75,1135.47,1136.9,1134.75,0.0003
20120821,1131.19,1135.6,1135.6,1130.3,-0.004
20120822,1135.96,1130.99,1136.3,1130.99,0.0042
20120823,1132.08,1131.95,1133.3,1129.6,-0.0034
20120824,1134.75,1132.08,1135.5,1132,0.0024
20120827,1135.35,1134.75,1137.6,1134,0.0005
20120828,1135.05,1135.34,1138.5,1135.05,-0.0003
20120829,1135.35,1135.33,1135.82,1133.6,0.0003
20120830,1134.88,1135.3,1136.1,1133.55,-0.0004
20120831,1133.79,1134.78,1137,1133.55,-0.001
20120903,1131.98,1133.79,1134.5,1130.1,-0.0016
20120904,1133.63,1131.58,1133.7,1130.8,0.0015
20120905,1136.66,1135.8,1136.86,1134.1,0.0027
20120906,1134.15,1136.1,1136.8,1133.9,-0.0022
20120907,1130.3,1129.05,1131.75,1129.05,-0.0034
20120910,1129,1130.3,1130.3,1127.75,-0.0012
20120911,1128.34,1128.95,1130.9,1128.1,-0.0006
20120912,1127.06,1128.54,1128.54,1125.7,-0.0011
20120913,1128.82,1127.14,1129.47,1126.4,0.0016
20120914,1117.05,1128.62,1128.62,1116.6,-0.0104
20120917,1116.5,1117.15,1117.15,1113.4,-0.0005
20120918,1118.9,1116.6,1119.4,1116.6,0.0021
20120919,1116.14,1118.7,1119.1,1114.87,-0.0025
20120920,1118.65,1116.34,1123.9,1115,0.0022
20120921,1119.5,1118.56,1121.8,1118.2,0.0008
20120924,1120.72,1119.6,1122.1,1118.5,0.0011
20120925,1118.72,1120.67,1121.4,1118,-0.0018
20120926,1119.41,1118.53,1122.6,1118.53,0.0006
20120927,1116.63,1119.41,1120.3,1116.45,-0.0025
20120928,1113.67,1116.63,1116.63,1110.9,-0.0027
20121001,1112.59,1113.47,1114.29,1112.59,-0.001
20121002,1113.48,1112.59,1114.5,1111.4,0.0008
20121003,1113.46,1113.48,1113.48,1113.46,0
20121004,1112.23,1113.46,1114.85,1111.98,-0.0011
20121005,1110.42,1112.32,1112.35,1107.6,-0.0016
20121008,1111.74,1110.22,1112.99,1109.5,0.0012
20121009,1111.62,1111.74,1112.1,1109.8,-0.0001
20121010,1114.42,1111.82,1115.9,1111.82,0.0025
20121011,1113.17,1114.49,1117.55,1112.67,-0.0011
20121012,1111,1113.07,1113.6,1110.1,-0.0019
20121015,1110.5,1111,1114.2,1109.98,-0.0005
20121016,1106.59,1110.49,1110.49,1106.15,-0.0035
20121017,1104.89,1106.5,1106.5,1103.8,-0.0015
20121018,1105.05,1104.78,1105.9,1103.96,0.0001
20121019,1105.66,1105.05,1106.7,1102.84,0.0006
20121022,1104.6,1105.76,1106.9,1104,-0.001
20121023,1103.45,1100.75,1103.65,1100.75,-0.001
20121024,1104,1105.5,1106.3,1102.9,0.0005
20121025,1098.2,1103.1,1103.5,1097.6,-0.0053
20121026,1097.58,1096.85,1098.75,1095.15,-0.0006
20121029,1098.01,1097.58,1098.16,1094.55,0.0004
20121030,1091.35,1097.66,1097.66,1090.2,-0.0061
20121031,1090.32,1091.55,1091.75,1089.57,-0.0009
20121101,1090.67,1090.32,1093.04,1090.14,0.0003
20121102,1091.65,1091.65,1093.5,1091.05,0.0009
20121105,1091,1090.9,1093.15,1090.9,-0.0006
20121106,1090.22,1091.2,1092.3,1090.07,-0.0007
20121107,1087,1090.32,1091.1,1085.45,-0.003
20121108,1089.37,1088.2,1091.67,1086.8,0.0022
20121109,1088,1089.47,1093.05,1087.2,-0.0013
20121112,1090,1087.75,1090.4,1087.25,0.0018
20121113,1089.84,1090.15,1091.4,1088.9,-0.0001
20121114,1086.5,1089.94,1089.94,1085.1,-0.0031
20121115,1088.71,1086.4,1089.22,1086.2,0.002
20121116,1092.5,1088.81,1092.7,1087.3,0.0035
20121119,1086.5,1092.5,1092.5,1086.1,-0.0055
20121120,1083.08,1086.5,1086.5,1081.3,-0.0031
20121121,1082.5,1083.08,1084.85,1081.9,-0.0005
20121122,1085.61,1082.4,1086.2,1080.4,0.0029
20121123,1085.55,1085.76,1087.45,1084.55,-0.0001
20121126,1086.02,1084.3,1086.37,1084.2,0.0004
20121127,1086.57,1086.02,1086.82,1083.8,0.0005
20121128,1085.5,1086.57,1088.77,1084.5,-0.001
20121129,1083.3,1085.5,1085.75,1083.3,-0.002
20121130,1082.5,1083.9,1085.1,1082.5,-0.0007
20121203,1083.35,1082.2,1084.8,1082.1,0.0008
20121204,1084.01,1083.35,1085,1083.35,0.0006
20121205,1082.69,1084.01,1084.6,1081.05,-0.0012
20121206,1083.5,1082.69,1084.37,1082.3,0.0007
20121207,1082.06,1083.3,1084.45,1081.5,-0.0013
20121210,1077.68,1081.81,1081.81,1077.68,-0.004
20121211,1075.25,1077.83,1078.1,1075.13,-0.0023
20121212,1073.6,1074.65,1077.55,1073.5,-0.0015
20121213,1074.35,1071.85,1074.75,1071.25,0.0007
20121214,1075.19,1073.35,1075.45,1073.35,0.0008
20121217,1072.5,1074.4,1074.4,1072.5,-0.0025
20121218,1073,1070.45,1073.55,1070.45,0.0005
20121219,1072.5,1073.25,1073.25,1071.82,-0.0005
